time,dt,lb_EX_A,ub_EX_A,lb_EX_C,ub_EX_C,pEX_A,pEX_C,k_R4,ub_R1,A,C,dummy_S,D,EX_A,EX_C,R4,update__pEX_A,update__pEX_C,update__A,update__C,update__update_A,update__update_C,bounds__dt,bounds__lb_EX_A,bounds__ub_EX_A,bounds__lb_EX_C,bounds__ub_EX_C,bounds__lb_default,bounds__ub_R1,bounds__k1,bounds__A,bounds__C,fba__ub_R1,fba__zero,fba__ub_default,fba__lb_EX_A,fba__ub_EX_A,fba__lb_EX_C,fba__ub_EX_C,fba__A,fba__C,fba__B1,fba__B2,fba__R1,fba__R2,fba__R3,fba__EX_A,fba__EX_C
10.0,5.0,-0.7176112708000002,1000.0,-0.713270310441997,1000.0,-0.165298881,0.165298881,0.1,0.13533527664197786,3.588056354000001,3.566351552209985,0.0,2.8455920937900148,-0.165298881,0.165298881,0.0,-0.165298881,0.165298881,3.588056354000001,3.566351552209985,0.0,0.0,5.0,-0.7176112708000002,1000.0,-0.713270310441997,1000.0,-1000.0,0.13533527664197786,-0.2,3.588056354000001,3.566351552209985,0.13533527664197786,0.0,1000.0,-0.7176112708000002,1000.0,-0.713270310441997,1000.0,0.0,0.0,0.0,0.0,0.165298881,0.165298881,0.165298881,-0.165298881,0.165298881
11.0,5.0,-0.6845514946000002,1000.0,-0.6768542026688261,1000.0,-0.165298881,0.165298881,0.1,0.11080315260603495,3.4227574730000008,3.3842710133441307,0.0,3.192971513655869,-0.165298881,0.165298881,0.0,-0.165298881,0.165298881,3.4227574730000008,3.3842710133441307,0.0,0.0,5.0,-0.6845514946000002,1000.0,-0.6768542026688261,1000.0,-1000.0,0.11080315260603495,-0.2,3.4227574730000008,3.3842710133441307,0.11080315260603495,0.0,1000.0,-0.6845514946000002,1000.0,-0.6768542026688261,1000.0,0.0,0.0,0.0,0.0,0.165298881,0.165298881,0.165298881,-0.165298881,0.165298881
12.0,5.0,-0.6514917184000002,1000.0,-0.6439035457384145,1000.0,-0.165298881,0.165298881,0.1,0.09071794829197158,3.2574585920000008,3.219517728692072,0.0,3.5230236793079275,-0.165298881,0.165298881,0.0,-0.165298881,0.165298881,3.2574585920000008,3.219517728692072,0.0,0.0,5.0,-0.6514917184000002,1000.0,-0.6439035457384145,1000.0,-1000.0,0.09071794829197158,-0.2,3.2574585920000008,3.219517728692072,0.09071794829197158,0.0,1000.0,-0.6514917184000002,1000.0,-0.6439035457384145,1000.0,0.0,0.0,0.0,0.0,0.165298881,0.165298881,0.165298881,-0.165298881,0.165298881
13.0,5.0,-0.6184319422000002,1000.0,-0.6140885584005578,1000.0,-0.165298881,0.165298881,0.1,0.07427357389416464,3.0921597110000008,3.0704427920027886,0.0,3.837397496997211,-0.165298881,0.165298881,0.0,-0.165298881,0.165298881,3.0921597110000008,3.0704427920027886,0.0,0.0,5.0,-0.6184319422000002,1000.0,-0.6140885584005578,1000.0,-1000.0,0.07427357389416464,-0.2,3.0921597110000008,3.0704427920027886,0.07427357389416464,0.0,1000.0,-0.6184319422000002,1000.0,-0.6140885584005578,1000.0,0.0,0.0,0.0,0.0,0.165298881,0.165298881,0.165298881,-0.165298881,0.165298881
14.0,5.0,-0.5853721660000002,1000.0,-0.5871108422403977,1000.0,-0.165298881,0.165298881,0.1,0.06081005890355167,2.9268608300000007,2.9355542112019886,0.0,4.137584958798011,-0.165298881,0.165298881,0.0,-0.165298881,0.165298881,2.9268608300000007,2.9355542112019886,0.0,0.0,5.0,-0.5853721660000002,1000.0,-0.5871108422403977,1000.0,-1000.0,0.06081005890355167,-0.2,2.9268608300000007,2.9355542112019886,0.06081005890355167,0.0,1000.0,-0.5853721660000002,1000.0,-0.5871108422403977,1000.0,0.0,0.0,0.0,0.0,0.165298881,0.165298881,0.165298881,-0.165298881,0.165298881
15.0,5.0,-0.5732101542000001,1000.0,-0.5428135430222393,1000.0,-0.060810059,0.060810059,0.1,0.04978706516954047,2.8660507710000007,2.7140677151111965,0.0,4.419881513888803,-0.060810059,0.060810059,0.0,-0.060810059,0.060810059,2.8660507710000007,2.7140677151111965,0.0,0.0,5.0,-0.5732101542000001,1000.0,-0.5428135430222393,1000.0,-1000.0,0.04978706516954047,-0.2,2.8660507710000007,2.7140677151111965,0.04978706516954047,0.0,1000.0,-0.5732101542000001,1000.0,-0.5428135430222393,1000.0,0.0,0.0,0.0,0.0,0.060810059,0.060810059,0.060810059,-0.060810059,0.060810059
16.0,5.0,-0.5610481424,1000.0,-0.5027316891737437,1000.0,-0.060810059,0.060810059,0.1,0.04076220123744832,2.8052407120000002,2.5136584458687183,0.0,4.68110084213128,-0.060810059,0.060810059,0.0,-0.060810059,0.060810059,2.8052407120000002,2.5136584458687183,0.0,0.0,5.0,-0.5610481424,1000.0,-0.5027316891737437,1000.0,-1000.0,0.04076220123744832,-0.2,2.8052407120000002,2.5136584458687183,0.04076220123744832,0.0,1000.0,-0.5610481424,1000.0,-0.5027316891737437,1000.0,0.0,0.0,0.0,0.0,0.060810059,0.060810059,0.060810059,-0.060810059,0.060810059
17.0,5.0,-0.5488861305999999,1000.0,-0.4664641280291636,1000.0,-0.060810059,0.060810059,0.1,0.03337326761712349,2.7444306529999998,2.332320640145818,0.0,4.923248706854181,-0.060810059,0.060810059,0.0,-0.060810059,0.060810059,2.7444306529999998,2.332320640145818,0.0,0.0,5.0,-0.5488861305999999,1000.0,-0.4664641280291636,1000.0,-1000.0,0.03337326761712349,-0.2,2.7444306529999998,2.332320640145818,0.03337326761712349,0.0,1000.0,-0.5488861305999999,1000.0,-0.4664641280291636,1000.0,0.0,0.0,0.0,0.0,0.060810059,0.060810059,0.060810059,-0.060810059,0.060810059
18.0,5.0,-0.5367241187999999,1000.0,-0.4336478816462284,1000.0,-0.060810059,0.060810059,0.1,0.027323720448452216,2.6836205939999997,2.168239408231142,0.0,5.148139997768856,-0.060810059,0.060810059,0.0,-0.060810059,0.060810059,2.6836205939999997,2.168239408231142,0.0,0.0,5.0,-0.5367241187999999,1000.0,-0.4336478816462284,1000.0,-1000.0,0.027323720448452216,-0.2,2.6836205939999997,2.168239408231142,0.027323720448452216,0.0,1000.0,-0.5367241187999999,1000.0,-0.4336478816462284,1000.0,0.0,0.0,0.0,0.0,0.060810059,0.060810059,0.060810059,-0.060810059,0.060810059
19.0,5.0,-0.5245621069999999,1000.0,-0.40395451400088056,1000.0,-0.060810059,0.060810059,0.1,0.022370770154440462,2.6228105349999997,2.019772570004403,0.0,5.357416894995595,-0.060810059,0.060810059,0.0,-0.060810059,0.060810059,2.6228105349999997,2.019772570004403,0.0,0.0,5.0,-0.5245621069999999,1000.0,-0.40395451400088056,1000.0,-1000.0,0.022370770154440462,-0.2,2.6228105349999997,2.019772570004403,0.022370770154440462,0.0,1000.0,-0.5245621069999999,1000.0,-0.40395451400088056,1000.0,0.0,0.0,0.0,0.0,0.060810059,0.060810059,0.060810059,-0.060810059,0.060810059
20.0,5.0,-0.5200879529999999,1000.0,-0.36977087990566154,1000.0,-0.02237077,0.02237077,0.1,0.018315637441536418,2.6004397649999995,1.8488543995283078,0.0,5.55070583547169,-0.02237077,0.02237077,0.0,-0.02237077,0.02237077,2.6004397649999995,1.8488543995283078,0.0,0.0,5.0,-0.5200879529999999,1000.0,-0.36977087990566154,1000.0,-1000.0,0.018315637441536418,-0.2,2.6004397649999995,1.8488543995283078,0.018315637441536418,0.0,1000.0,-0.5200879529999999,1000.0,-0.36977087990566154,1000.0,0.0,0.0,0.0,0.0,0.02237077,0.02237077,0.02237077,-0.02237077,0.02237077
21.0,5.0,-0.5156137989999998,1000.0,-0.338840248693333,1000.0,-0.02237077,0.02237077,0.1,0.014995575591837621,2.5780689949999993,1.6942012434666651,0.0,5.7277297615333325,-0.02237077,0.02237077,0.0,-0.02237077,0.02237077,2.5780689949999993,1.6942012434666651,0.0,0.0,5.0,-0.5156137989999998,1000.0,-0.338840248693333,1000.0,-1000.0,0.014995575591837621,-0.2,2.5780689949999993,1.6942012434666651,0.014995575591837621,0.0,1000.0,-0.5156137989999998,1000.0,-0.338840248693333,1000.0,0.0,0.0,0.0,0.0,0.02237077,0.02237077,0.02237077,-0.02237077,0.02237077
