,time,[Ac],[C1__Ac],[C1__Glcxt],[C1__O2],[C1__X],[Glcxt],[O2],[X],[dummy],C1__v1,C1__v2,C1__v3,C1__v4,C2__a_uptake,C2__g_uptake,C2__growth,C2__o_uptake,a_uptake,g_uptake,growth,o2_transport,o_uptake,C1__default_max,C1__default_min,C1__default_neg_min,C2__Km,C3__Km,C3__max_X,Km,X_max,X_min,a_rate_uptake,a_uptake_max,a_uptake_min,dt,g_rate_uptake,g_uptake_max,g_uptake_min,o_rate_uptake,o_uptake_max,o_uptake_min,x_rate_growth
0.22,0.22,0.39961848119134824,0.0,0.0,0.0,0.0,10.797515974084352,0.20811471379262653,0.0012722578717826527,0.0,0.03889832899251091,1.0556159818314335,0.0,0.0,0.001951339648398385,0.012704928923715258,0.0013925044477245284,0.019083868076739792,1.5337611121747052,9.98612718812536,1.0945143108239443,0.014139646555300991,15.000000000000002,1000.0,0.0,-1000.0,0.001,0.015,0.012217400980022098,0.015,1000.0,-1000.0,1.5337611121747052,1000.0,-1000.0,0.01,9.98612718812536,9.98612718812536,0.0,15.000000000000002,15.0,0.0,1.0945143108239443
0.23,0.23,0.3995988606157313,0.0,0.0,0.0,0.0,10.79738822696516,0.2080660576632554,0.0012862594008530796,0.0,0.03889833538834674,1.0556159645052525,0.0,0.0,0.0019728149735765265,0.012844749763015563,0.0014078293076062688,0.01929389101279619,1.533761364362512,9.98612702421969,1.0945142998935993,0.014504567525584489,14.999999999999998,1000.0,0.0,-1000.0,0.001,0.015,0.012231402399789072,0.015,1000.0,-1000.0,1.533761364362512,1000.0,-1000.0,0.01,9.98612702421969,9.98612702421969,0.0,14.999999999999998,15.0,0.0,1.0945142998935993
0.24,0.24,0.3995790241073114,0.0,0.0,0.0,0.0,10.797259073957793,0.20801888259991186,0.001300415020253821,0.0,0.0388983418547242,1.0556159469879765,0.0,0.0,0.001994526647267864,0.012986109360961643,0.0014233228210934771,0.019506225303807318,1.5337616193317751,9.986126858506259,1.0945142888427006,0.014858380500661003,15.000000000000002,1000.0,0.0,-1000.0,0.001,0.015,0.012245557908680827,0.015,1000.0,-1000.0,1.5337616193317751,1000.0,-1000.0,0.01,9.986126858506259,9.986126858506259,0.0,15.000000000000002,15.0,0.0,1.0945142888427006
0.25,0.25,0.39955896928962165,0.0,0.0,0.0,0.0,10.79712849959015,0.2079730591940425,0.0013147264257845602,0.0,0.03889834839242258,1.0556159292774931,0.0,0.0,0.0020164772707016846,0.013129024651844325,0.001438986844251138,0.019720896386768404,1.5337618771132222,9.986126690965087,1.0945142776699157,0.01520205604468125,15.000000000000002,1000.0,0.0,-1000.0,0.001,0.015,0.012259869202483719,0.015,1000.0,-1000.0,1.5337618771132222,1000.0,-1000.0,0.01,9.986126690965087,9.986126690965087,0.0,15.000000000000002,15.0,0.0,1.0945142776699157
0.26,0.26,0.39953869376004086,0.0,0.0,0.0,0.0,10.79699648821985,0.20792846714128627,0.0013291953319067196,0.0,0.03889835500223039,1.0556159113716668,0.0,0.0,0.002038669473736547,0.013273512756308664,0.0014548232535694918,0.01993792997860079,1.5337621377379445,9.986126521575969,1.0945142663738971,0.015536496440352945,14.999999999999998,1000.0,0.0,-1000.0,0.001,0.015,0.01227433799564569,0.015,1000.0,-1000.0,1.5337621377379445,1000.0,-1000.0,0.01,9.986126521575969,9.986126521575969,0.0,14.999999999999998,15.0,0.0,1.0945142663738971
0.27,0.27,0.3995181950895033,0.0,0.0,0.0,0.0,10.796863024032367,0.20788499458085904,0.0013438234719507466,0.0,0.03889836168494496,1.0556158932683382,0.0,0.0,0.00206110591517833,0.013419590983423818,0.0014708339461909055,0.0201573520792612,1.5337624012373798,9.98612635031848,1.0945142549532831,0.015862540643557105,15.000000000000002,1000.0,0.0,-1000.0,0.001,0.015,0.012288966021483579,0.015,1000.0,-1000.0,1.5337624012373798,1000.0,-1000.0,0.01,9.98612635031848,9.98612635031848,0.0,15.000000000000002,15.0,0.0,1.0945142549532831
0.28,0.28,0.39949747082221004,0.0,0.0,0.0,0.0,10.796728091039139,0.20784253748279655,0.001358612598322307,0.0,0.03889836844137195,1.0556158749653235,0.0,0.0,0.002083789283096611,0.013567276832742005,0.0014870208401355444,0.0203791889748346,1.5337626676432958,9.986126177171961,1.0945142434066955,0.016180968879025842,14.999999999999998,1000.0,0.0,-1000.0,0.001,0.015,0.012303755032389261,0.015,1000.0,-1000.0,1.5337626676432958,1000.0,-1000.0,0.01,9.986126177171961,9.986126177171961,0.0,14.999999999999998,15.0,0.0,1.0945142434066955
0.29,0.29,0.3994765184753338,0.0,0.0,0.0,0.0,10.796591673075648,0.20780099907934074,0.0013735644827126705,0.0,0.038898375272326695,1.0556158564604152,0.0,0.0,0.002106722295147571,0.013716587996399365,0.0015033858745316395,0.020603467240690055,1.5337629369878416,9.98612600211553,1.0945142317327419,0.016492506904944373,14.999999999999998,1000.0,0.0,-1000.0,0.001,0.015,0.01231870680004009,0.015,1000.0,-1000.0,1.5337629369878416,1000.0,-1000.0,0.01,9.98612600211553,9.98612600211553,0.0,14.999999999999998,15.0,0.0,1.0945142317327419
0.3,0.3,0.39945533553872137,0.0,0.0,0.0,0.0,10.796453753799467,0.20776028933733956,0.001388680916310741,0.0,0.038898382178632826,1.0556158377513816,0.0,0.0,0.0021299076988992765,0.013867542361233203,0.0015199310098475483,0.020830213744661114,1.5337632093034923,9.98612582512807,1.0945142199300144,0.016797829969953243,14.999999999999998,1000.0,0.0,-1000.0,0.001,0.015,0.012333823115610884,0.015,1000.0,-1000.0,1.5337632093034923,1000.0,-1000.0,0.01,9.98612582512807,9.98612582512807,0.0,14.999999999999998,15.0,0.0,1.0945142199300144
0.31,0.31,0.3994339194745928,0.0,0.0,0.0,0.0,10.796314316688331,0.2077203244688662,0.0014039637100179102,0.0,0.03889838916112381,1.0556158188359648,0.0,0.0,0.0021533482721614616,0.014020158010927425,0.0015366582281269071,0.02105945565026865,1.5337634846231116,9.986125646188228,1.0945142079970887,0.017097566483503385,14.999999999999998,1000.0,0.0,-1000.0,0.001,0.015,0.012349105789988797,0.015,1000.0,-1000.0,1.5337634846231116,1000.0,-1000.0,0.01,9.986125646188228,9.986125646188228,0.0,14.999999999999998,15.0,0.0,1.0945142079970887
